CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,POTENTIALDEALSIZE,LEADSOURCE
Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,NA,,Kwai,Small,trade show
Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,,51100,France,EMEA,,Paul,Small,trade show
Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,,75508,France,EMEA,,Daniel,Medium,trade show
Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,NA,,Julie,Medium,trade show
Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,,USA,NA,,Julie,Medium,trade show
Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,NA,,Juri,Medium,trade show
Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,,59000,France,EMEA,,Martine,Small,trade show
Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,,N 5804,Norway,EMEA,,Veysel,Medium,trade show
Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,,USA,NA,,Julie,Small,trade show
Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,,75016,France,EMEA,,Dominique,Medium,trade show
"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,,Peter,Medium,trade show
Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,NY,10022,USA,NA,,Michael,Small,trade show
Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,NJ,94019,USA,NA,,William,Medium,trade show
Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,NA,,Julie,Medium,trade show
La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,,44000,France,EMEA,,Janine,Medium,trade show
Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,NA,,Marta,Medium,trade show
"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,,21240,Finland,EMEA,,Matti,Small,trade show
Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,,4110,Norway,EMEA,,Jonas,Medium,trade show
Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,USA,NA,Yu,,Medium,trade show
Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,NA,Yu,,Medium,trade show
Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,,5020,Austria,EMEA,Pipps,,Large,trade show
Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,APAC,Huxley,,Small,trade show
La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,,44000,France,EMEA,Labrune,,Small,trade show
FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,USA,NA,Benitez,,Medium,trade show
"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,,WX1 6LT,UK,EMEA,Devon,,Small,trade show
